Initial positions: (0, 6, 19), Number of turns: None
Initial positions: (10, 17, 41), Number of turns: 282.4524377660777
Initial positions: (60, 37, 50), Number of turns: 240.01704022839712
Initial positions: (58, 49, 61), Number of turns: 285.2146631924803
Initial positions: (1, 2, 30), Number of turns: None
Initial positions: (42, 39, 6), Number of turns: 275.94850896498787
Initial positions: (39, 0, 53), Number of turns: None
Initial positions: (38, 60, 58), Number of turns: 281.60255680657446
Initial positions: (64, 7, 30), Number of turns: None
Initial positions: (20, 40, 31), Number of turns: 271.2021010243099
Initial positions: (49, 24, 47), Number of turns: None
Initial positions: (24, 37, 38), Number of turns: None
Initial positions: (23, 47, 22), Number of turns: 298.0218866123762
Initial positions: (22, 24, 17), Number of turns: None
Initial positions: (14, 48, 47), Number of turns: 280.0
Initial positions: (30, 61, 4), Number of turns: 280.178514522438
Initial positions: (53, 33, 39), Number of turns: 265.21346044271587
Initial positions: (51, 28, 50), Number of turns: 281.75777700003243
Initial positions: (64, 14, 42), Number of turns: None
Initial positions: (52, 33, 63), Number of turns: 260.0
Initial positions: (46, 55, 63), Number of turns: 260.0
Initial positions: (45, 51, 62), Number of turns: 284.96136510060444
Initial positions: (56, 55, 55), Number of turns: None
Initial positions: (47, 43, 63), Number of turns: 280.713376952364
Initial positions: (60, 33, 64), Number of turns: None
Initial positions: (37, 56, 57), Number of turns: 240.42504881979332
Initial positions: (34, 64, 55), Number of turns: None
Initial positions: (31, 27, 49), Number of turns: 256.3201123595259
Initial positions: (30, 19, 47), Number of turns: 301.358001221139
Initial positions: (34, 27, 52), Number of turns: 261.2680694229588
Initial positions: (28, 43, 36), Number of turns: 263.5089744202273
Initial positions: (55, 35, 58), Number of turns: 242.53865671269807
Initial positions: (41, 19, 56), Number of turns: 276.0200081515831
Initial positions: (59, 13, 44), Number of turns: 284.1830684611594
Initial positions: (15, 29, 59), Number of turns: 290.0
Initial positions: (2, 37, 49), Number of turns: 288.9556706486308
Initial positions: (55, 43, 44), Number of turns: 255.0
Initial positions: (35, 52, 59), Number of turns: 267.43261599887177
Initial positions: (43, 23, 35), Number of turns: 307.6117683054405
Initial positions: (61, 9, 52), Number of turns: 297.6995129320839
Initial positions: (37, 30, 23), Number of turns: 280.0216464846959
Initial positions: (63, 36, 57), Number of turns: 286.35642126552705
Initial positions: (56, 41, 53), Number of turns: 272.02941017470886
Initial positions: (58, 36, 44), Number of turns: 297.6995129320839
Initial positions: (50, 47, 50), Number of turns: None
Initial positions: (27, 39, 11), Number of turns: None
Initial positions: (39, 58, 60), Number of turns: 260.76809620810593
Initial positions: (17, 46, 47), Number of turns: 280.40149785619906
Initial positions: (54, 25, 28), Number of turns: None
Initial positions: (48, 31, 40), Number of turns: 255.9691467735907
Initial positions: (49, 31, 39), Number of turns: 261.9637379485947
Initial positions: (43, 21, 43), Number of turns: None
Initial positions: (57, 26, 49), Number of turns: 275.60741082198786
Initial positions: (62, 36, 41), Number of turns: 282.842712474619
Initial positions: (53, 34, 34), Number of turns: None
Initial positions: (48, 40, 54), Number of turns: 248.95445045228658
Initial positions: (48, 41, 54), Number of turns: 280.713376952364
Initial positions: (45, 45, 61), Number of turns: None
Initial positions: (52, 50, 51), Number of turns: 301.3573375579231
Initial positions: (59, 54, 57), Number of turns: 266.8332812825267
Initial positions: (31, 39, 46), Number of turns: 296.8164415931166
Initial positions: (26, 31, 54), Number of turns: 283.77125030559387
Initial positions: (41, 34, 40), Number of turns: 258.4150119478356
Initial positions: (50, 29, 37), Number of turns: 301.4962686336267
Initial positions: (46, 59, 46), Number of turns: None
Initial positions: (37, 38, 48), Number of turns: 188.15686035858485
Initial positions: (37, 39, 56), Number of turns: 264.76404589747455
Initial positions: (54, 45, 58), Number of turns: 286.40006983239374
Initial positions: (44, 41, 48), Number of turns: 260.76809620810593
Initial positions: (48, 43, 32), Number of turns: 291.3390059707076
Initial positions: (40, 37, 52), Number of turns: 270.4052590095097
Initial positions: (35, 32, 45), Number of turns: 311.43
Initial positions: (32, 64, 50), Number of turns: None
Initial positions: (61, 38, 54), Number of turns: 250.0
Initial positions: (64, 35, 42), Number of turns: None
Initial positions: (61, 37, 55), Number of turns: 265.8860274628962
Initial positions: (57, 49, 61), Number of turns: 288.4555071410494
Initial positions: (59, 41, 53), Number of turns: 277.1912770994066
Initial positions: (51, 38, 58), Number of turns: 270.37789129290877
Initial positions: (61, 33, 64), Number of turns: None
Initial positions: (55, 28, 48), Number of turns: 277.14
Initial positions: (33, 23, 50), Number of turns: 249.60337517750034
Initial positions: (37, 23, 51), Number of turns: 260.45072393832965
Initial positions: (33, 14, 56), Number of turns: 263.0589287593181
Initial positions: (5, 35, 51), Number of turns: 265.0
Initial positions: (29, 16, 54), Number of turns: 248.2438317461282
Initial positions: (21, 17, 1), Number of turns: None
Initial positions: (29, 11, 54), Number of turns: None
Initial positions: (25, 44, 60), Number of turns: None
Initial positions: (23, 18, 57), Number of turns: 302.03476621077914
Initial positions: (35, 40, 49), Number of turns: 265.1196033868488
Initial positions: (39, 2, 53), Number of turns: 289.8706608127149
Initial positions: (56, 31, 45), Number of turns: 304.63092423455635
Initial positions: (28, 5, 59), Number of turns: 286.35642126552705
Initial positions: (63, 21, 48), Number of turns: 268.00186566514793
Initial positions: (53, 38, 52), Number of turns: 280.178514522438
Initial positions: (58, 21, 55), Number of turns: 264.49772191835604
Initial positions: (30, 35, 42), Number of turns: 280.713376952364
Initial positions: (60, 42, 46), Number of turns: 262.3451924468981
Initial positions: (33, 52, 51), Number of turns: 260.06269263391084
Initial positions: (31, 28, 50), Number of turns: 210.0
Initial positions: (36, 26, 49), Number of turns: 286.96930079714105
Initial positions: (32, 30, 54), Number of turns: 296.8164415931166
Initial positions: (38, 32, 44), Number of turns: 285.2146631924803
Initial positions: (41, 28, 50), Number of turns: 294.1595568734764
Initial positions: (29, 57, 62), Number of turns: 255.0
Initial positions: (27, 54, 61), Number of turns: 271.5324011973525
Initial positions: (29, 56, 56), Number of turns: None
Initial positions: (25, 57, 62), Number of turns: None
Initial positions: (33, 61, 58), Number of turns: 271.7075633838705
Initial positions: (34, 62, 27), Number of turns: 252.09546306905247
Initial positions: (34, 60, 12), Number of turns: None
Initial positions: (31, 61, 53), Number of turns: 251.2000097531845
Initial positions: (30, 59, 53), Number of turns: 291.20439557122074
Initial positions: (31, 62, 25), Number of turns: None
Initial positions: (36, 64, 23), Number of turns: None
Initial positions: (27, 62, 28), Number of turns: 268.00186566514793
Initial positions: (32, 63, 55), Number of turns: 283.56053956783194
Initial positions: (18, 60, 30), Number of turns: 297.6995129320839
Initial positions: (31, 62, 52), Number of turns: 254.29000000000002
Initial positions: (31, 16, 52), Number of turns: 260.0157295241963
Initial positions: (34, 61, 57), Number of turns: 292.7456233660889
Initial positions: (36, 59, 54), Number of turns: 260.24243024533877
Initial positions: (28, 63, 51), Number of turns: 282.45375285168365
Initial positions: (33, 58, 59), Number of turns: 299.8301560884095
Initial positions: (26, 23, 27), Number of turns: 272.02941017470886
Initial positions: (38, 55, 53), Number of turns: 260.2325490787038
Initial positions: (35, 38, 21), Number of turns: 238.24240785384956
Initial positions: (38, 38, 18), Number of turns: None
Initial positions: (35, 34, 16), Number of turns: 280.40149785619906
Initial positions: (31, 40, 20), Number of turns: 245.15301344262525
Initial positions: (34, 39, 21), Number of turns: 295.67718883945037
Initial positions: (40, 37, 20), Number of turns: 251.2000097531845
Initial positions: (43, 37, 19), Number of turns: 294.29
Initial positions: (40, 40, 14), Number of turns: None
Initial positions: (29, 35, 20), Number of turns: 263.5089744202273
Initial positions: (36, 42, 22), Number of turns: 291.20439557122074
Initial positions: (39, 36, 24), Number of turns: None
Initial positions: (63, 40, 56), Number of turns: 277.50156468027353
Initial positions: (32, 38, 15), Number of turns: 266.57720101313987
Initial positions: (30, 39, 26), Number of turns: 195.83304011325566
Initial positions: (30, 36, 20), Number of turns: 263.86549603917524
Initial positions: (28, 34, 18), Number of turns: 283.7692724732542
Initial positions: (33, 42, 50), Number of turns: 261.72504656604804
Initial positions: (31, 38, 22), Number of turns: 292.7456233660889
Initial positions: (37, 45, 47), Number of turns: 276.0200081515831
Initial positions: (30, 40, 55), Number of turns: 281.45380597888527
Initial positions: (42, 37, 24), Number of turns: None
Initial positions: (26, 10, 57), Number of turns: 282.842712474619
Initial positions: (34, 36, 28), Number of turns: 287.7933286231632
Initial positions: (32, 41, 26), Number of turns: 259.42243542145695
Initial positions: (35, 33, 30), Number of turns: 281.1138559374119
Initial positions: (61, 39, 32), Number of turns: 253.38311723554116
Initial positions: (37, 25, 54), Number of turns: None
Initial positions: (34, 19, 25), Number of turns: None
Initial positions: (57, 33, 17), Number of turns: 247.57181604536493
Initial positions: (58, 32, 19), Number of turns: 216.33307652783935
Initial positions: (58, 29, 17), Number of turns: 305.28675044947494
Initial positions: (60, 32, 13), Number of turns: 280.40149785619906
Initial positions: (57, 30, 20), Number of turns: 272.9468812791236
Initial positions: (56, 33, 17), Number of turns: 292.31831964486935
Initial positions: (54, 35, 18), Number of turns: 288.58000000000004
Initial positions: (59, 36, 16), Number of turns: 290.05214169179993
Initial positions: (62, 27, 20), Number of turns: 291.20439557122074
Initial positions: (59, 34, 51), Number of turns: 286.40006983239374
Initial positions: (51, 38, 49), Number of turns: None
Initial positions: (57, 12, 22), Number of turns: None
